vec_len,N,coeff_mod_bit_sizes,scale_pow,trials,enc_client_u_time_s,enc_client_norm_time_s,dec_norm_time_s,enc_sink_v_time_s,dot_time_s,dec_dot_time_s,scalar_mul_time_s,add_time_s,final_dec_time_s,ct_u_bytes,ct_n_bytes,ct_dot_bytes,ct_weight_bytes,ct_agg_bytes,relin_keys_size_mean,galois_keys_size_mean,mae_error,max_err,mem_delta_mb
4096,16384,"[60, 40, 40, 60]",30,3,0.007354943001701031,0.006762351333842768,0.0020506803314977637,0.006795781000012842,0.03564925833294789,0.0014836220022213336,0.0018613406670435022,3.2666624368478853e-07,0.0013785920018563047,658004.0,657355.6666666666,459200.6666666667,459629.0,459629.0,-1.0,-1.0,0.7976549909196723,3.5227063173915845,67.08463541666667
4096,16384,"[60, 40, 40, 60]",40,3,0.007073410665422368,0.006623925330738227,0.0018525273359652299,0.0066545916682419675,0.03435583566897549,0.001228949333987354,0.0015058886686650415,2.1333107724785805e-07,0.0013592289954734345,657906.3333333334,657776.6666666666,459370.6666666667,460147.3333333333,460147.3333333333,-1.0,-1.0,1.1476490431477515e-06,5.044302266554723e-06,3.9088541666666665
4096,16384,"[60, 40, 60]",30,3,0.005761151999953047,0.00533232299737089,0.0012178659987209055,0.005349809670102938,0.01810947466583457,0.0005417683350970037,0.0009282669998356141,2.399974619038403e-07,0.0006826310006241935,459400.6666666667,459772.0,262291.0,262292.0,262292.0,-1.0,-1.0,0.7976549355279513,3.5227088653070155,27.430989583333332
4096,16384,"[60, 40, 60]",40,3,0.005780410998947143,0.005349143000785261,0.0012212526659520033,0.005389719667922084,0.01815486433285211,0.0005443513340045077,0.0009307236662910631,1.8999950649837652e-07,0.0006871313307783566,459888.6666666667,459871.0,262291.0,262292.0,262292.0,-1.0,-1.0,1.149078772958812e-06,4.855332519297188e-06,0.18880208333333334
4096,32768,"[60, 40, 40, 60]",30,3,0.014426433333331564,0.013596065999687804,0.004173273332222986,0.013541505667186962,0.07662852899860202,0.0026500346672643595,0.0033708156649178513,2.366650733165443e-07,0.002724111332402875,1315623.6666666667,1315579.6666666667,919858.3333333334,919529.0,919529.0,-1.0,-1.0,0.7976549364867473,3.52271467414444,128.85546875
4096,32768,"[60, 40, 40, 60]",40,3,0.01401140133627147,0.01340870000179469,0.004026420334412251,0.013389196668867953,0.07617550700039526,0.002549418670241721,0.0031416766675344356,2.4666708971684176e-07,0.002677851000044029,1315329.6666666667,1315702.6666666667,920014.0,919998.0,919998.0,-1.0,-1.0,1.1725088967785388e-06,5.337580114487632e-06,3.9895833333333335
4096,32768,"[60, 40, 60]",30,3,0.011395016668150978,0.010573565666466797,0.0025301583348967447,0.01063988900083738,0.0405877953307936,0.001147520000813529,0.002047383000899572,2.2000070506085953e-07,0.0012690926693418685,920130.6666666666,920098.0,524441.0,524442.0,524442.0,-1.0,-1.0,0.7976549697876342,3.5227110463673665,57.66015625
4096,32768,"[60, 40, 60]",40,3,0.011546389335611215,0.010582946000795346,0.002540675333875697,0.010597102331909506,0.04060778866551118,0.001153582998085767,0.0020165366683310517,2.7333589969202876e-07,0.0012724459981351781,919571.6666666666,919986.0,524441.0,524442.0,524442.0,-1.0,-1.0,1.1703678467272268e-06,5.3194715327424076e-06,0.4388020833333333
10000,32768,"[60, 40, 40, 60]",30,3,0.015527933333942201,0.013932161666161846,0.0037127746666859216,0.014108467997478632,0.2684081186671392,0.002561024666647427,0.0031746299985873825,2.8666787936041754e-07,0.002939677331596613,1316019.3333333333,1315852.6666666667,919872.6666666666,920126.3333333334,920126.3333333334,-1.0,-1.0,0.7996947187170244,3.783496699713305,2.1341145833333335
10000,32768,"[60, 40, 40, 60]",40,3,0.015055668334146807,0.013950912000533814,0.0037504776676845117,0.014096471000812016,0.2684661059975042,0.0025418586640929184,0.003167953334923368,1.833347293237845e-07,0.0028820503309058645,1315424.6666666667,1315450.0,920002.0,920280.6666666666,920280.6666666666,-1.0,-1.0,1.2113118072340827e-06,5.983771283357697e-06,-0.265625
10000,32768,"[60, 40, 60]",30,3,0.013416946669167373,0.01125111033131058,0.0023526390020075874,0.01145222966442816,0.14005483733247578,0.00117636300031639,0.002087336666591,3.800014383159578e-07,0.0015100249996370014,920375.0,920018.6666666666,524441.0,524442.0,524442.0,-1.0,-1.0,0.7996947560214478,3.783500587854069,0.4401041666666667
10000,32768,"[60, 40, 60]",40,3,0.012104754333752984,0.01116239733285814,0.0023616093336992585,0.011361506333438834,0.1396828890016574,0.0011802363320991087,0.002081260332488455,3.3666826008508605e-07,0.0015479716676054522,919800.3333333334,920244.3333333334,524441.0,524442.0,524442.0,-1.0,-1.0,1.205277127057527e-06,6.121509285102651e-06,0.0625
